,colony,type,week,frame_position,growth,wood_distance,comb_distance
2567,DD7,DD,4,6,1,50.0,64.20280367709809
2568,SH4,SH,1,2,0,7.280109889280518,73.05477397131553
2569,DD1,DD,4,7,1,13.0,68.60029154456998
2570,SH7,SH,2,8,0,3.0,16.55294535724685
2571,DD5,DD,4,5,1,108.0,44.82186966202994
2572,SH7,SH,3,9,0,6.0,30.0
2573,DD5,DD,4,2,1,33.0,144.0
2574,DD6,DD,4,3,0,5.0,55.94640292279746
2575,DD5,DD,3,2,0,17.0,285.112258592997
2576,DD6,DD,1,3,0,62.03224967708329,52.43090691567332
2577,DD2,DD,4,9,0,16.0,64.28841264178172
2578,DD2,DD,2,6,1,86.0,49.39635614091387
2579,DD7,DD,3,8,0,61.0,211.62466774929618
2580,DD1,DD,3,2,0,9.0,243.4953798329652
2581,SH2,SH,3,1,1,117.0,380.9278146840947
2582,SH2,SH,3,6,0,96.0,102.7861858422619
2583,SH2,SH,1,1,0,31.0,177.0
2584,SH4,SH,1,7,0,102.0,28.460498941515414
2585,SH7,SH,1,4,1,37.0,51.35172830587107
2586,SH2,SH,0,6,0,7.280109889280518,377.81079921039844
2587,DD6,DD,2,5,0,81.0,105.80170130957252
2588,DD7,DD,3,3,0,16.0,62.93647591023825
2589,SH2,SH,2,8,0,68.0,171.04677722775136
2590,SH2,SH,2,5,0,102.0196059588548,47.80167361086848
2591,DD7,DD,0,1,0,25.0,189.7893569197177
2592,DD1,DD,2,8,0,80.0,111.50336317797773
2593,DD4,DD,4,8,1,8.0,1.0
2594,DD7,DD,0,1,0,50.0,203.8872237291979
2595,SH4,SH,2,9,0,73.0,193.82982226685345
2596,SH7,SH,0,4,1,56.0,76.02631123499285
2597,SH3,SH,4,1,0,46.0,240.41630560342617
2598,DD5,DD,3,9,0,25.0,178.94133116750865
2599,SH4,SH,3,1,0,12.0,3.605551275463989
2600,SH4,SH,3,7,0,11.0,4.47213595499958
2601,SH2,SH,4,7,1,74.95331880577403,11.40175425099138
2602,DD2,DD,1,7,0,50.0,156.24659996300718
2603,SH2,SH,3,2,0,75.0,73.79024325749306
2604,DD4,DD,3,8,1,57.0,45.69463863518345
2605,SH2,SH,1,2,0,33.0,69.0
2606,DD5,DD,1,4,0,37.0,322.6143208228674
2607,DD7,DD,2,3,1,95.0,33.015148038438355
2608,DD2,DD,3,7,0,14.0,73.59347797189639
2609,DD5,DD,2,4,0,93.0,56.356011214421486
2610,DD7,DD,3,0,0,2.0,104.546640309481
2611,DD5,DD,1,8,0,53.0,222.26560687609768
2612,DD6,DD,2,3,0,27.16615541441225,77.33692520394123
2613,SH1,SH,1,5,0,51.03920062069938,42.42640687119285
2614,DD1,DD,2,7,0,9.0,172.6267650163207
2615,SH2,SH,3,6,0,9.0,29.0
2616,DD7,DD,3,3,0,13.0,50.20956084253277
2617,DD7,DD,1,5,1,106.0,22.360679774997898
2618,DD4,DD,2,6,0,29.0,85.84287972802403
2619,DD4,DD,1,8,0,46.0,87.36704184073076
2620,SH1,SH,1,5,0,100.0,18.384776310850235
2621,SH7,SH,3,7,1,31.0,87.13208364316786
2622,DD1,DD,4,9,0,38.0,53.41348144429457
2623,DD5,DD,3,3,0,4.0,323.2893440866865
2624,DD6,DD,1,1,0,95.0,53.03772242470448
2625,SH3,SH,1,5,0,5.0,224.8399430706208
2626,SH6,SH,4,0,1,86.0,2.23606797749979
2627,DD4,DD,1,8,0,50.0,35.0
2628,DD7,DD,4,8,0,72.0,102.30347012687302
2629,SH3,SH,0,4,1,68.0,286.0
2630,DD6,DD,2,6,0,124.0,79.1580697086532
2631,DD1,DD,0,8,0,36.0,137.93114224133723
2632,DD5,DD,0,4,0,98.0,254.34228905158497
2633,SH4,SH,0,4,0,1.0,4.0
2634,SH6,SH,3,1,0,90.6697303403953,41.10960958218893
2635,SH7,SH,3,9,0,4.0,38.948684188300895
2636,DD2,DD,4,4,1,26.0,32.7566787083184
2637,DD5,DD,1,8,0,55.0,223.16137658654108
2638,SH7,SH,1,1,0,132.3782459469833,262.9923953273174
2639,SH6,SH,3,4,0,16.0,115.84903970253703
2640,DD2,DD,4,2,1,20.09975124224178,9.433981132056603
2641,DD7,DD,4,5,0,5.0,7.0
2642,DD1,DD,4,4,1,20.0,39.81205847478876
2643,SH6,SH,1,9,0,25.0,318.4163940503064
2644,DD5,DD,2,8,0,2.0,191.0
2645,DD2,DD,2,5,1,7.0,48.33218389437829
2646,DD2,DD,2,4,0,76.0,69.29646455628166
2647,DD2,DD,3,1,0,34.0,259.01737393464555
2648,SH3,SH,1,2,0,2.0,117.5967686630887
2649,DD7,DD,0,4,1,108.77959367454909,132.38202294873727
2650,SH2,SH,1,1,0,125.0,93.23089616645332
2651,DD2,DD,3,6,0,2.8284271247461903,36.87817782917155
2652,SH1,SH,0,5,0,72.0,130.09611831257686
2653,SH4,SH,1,7,0,34.0,112.0044641967453
2654,SH7,SH,0,4,1,21.0,330.1060435678208
2655,SH7,SH,1,6,0,61.1310068623117,144.9586147836685
2656,SH7,SH,4,8,1,48.0,38.58756276314948
2657,SH1,SH,2,3,0,28.284271247461902,95.00526301210897
2658,SH6,SH,1,7,0,51.0098029794274,161.9783936208777
2659,DD7,DD,1,3,0,39.0,153.16984037335808
2660,SH3,SH,3,2,0,16.0,37.73592452822641
2661,SH3,SH,3,7,0,142.0,139.61733416735902
2662,DD5,DD,4,9,0,93.0,71.58910531638176
2663,SH4,SH,3,3,0,45.0,182.0988742414406
2664,DD1,DD,2,8,0,30.14962686336267,124.4025723206719
2665,SH2,SH,3,2,0,131.01526628603247,86.31338250816034
2666,DD2,DD,1,8,1,122.0,40.26164427839479
2667,SH6,SH,4,2,1,59.0,2.0
2668,DD2,DD,0,8,1,51.478150704935004,35.0
2669,SH3,SH,4,7,0,4.0,123.0447073221762
2670,DD1,DD,0,8,0,80.0,251.40604606890423
2671,SH1,SH,2,8,0,131.0,59.481089431852205
2672,DD4,DD,1,8,0,20.0,53.03772242470448
2673,SH4,SH,3,0,1,43.0,63.0
2674,SH1,SH,2,6,0,32.0,70.0
2675,SH6,SH,1,0,0,12.0,169.49926253526885
2676,SH6,SH,2,8,0,49.16299421312742,248.4552273549502
